ssn,name,role,rank,licence,address,phonenumber,email
3009907461,William Carillo,Pilot,Captain,NAFokkerF100,Fellsmúli 1,8998801,willian@nan.is
2910858778,Virginia Ho,Pilot,Captain,NABAE146,Fellsmúli 2,8998802,virginia@nan.is
2706838569,Gerard Nelson,Pilot,Captain,NAFokkerF100,Fellsmúli 3,8998803,gerard@nan.is
2209955782,Allen Ley,Pilot,Captain,NABAE146,Fellsmúli 4,8998804,allen@nan.is
2907675667,Felecia Moye,Pilot,Captain,NABAE146,Fellsmúli 5,8998805,felicia@nan.is
1309797899,Tyler Anderson,Pilot,Captain,NAFokkerF28,Fellsmúli 6,8998806,tyler@nan.is
2410876598,Nan Gage,Pilot,Copilot,NAFokkerF100,Fellsmúli 7,8998807,nang@nan.is
2211658134,Charla Johnson,Pilot,Copilot,NABAE146,Fellsmúli 8,8998808,charla@nan.is
2504939263,Sam Preciado,Pilot,Copilot,NABAE146,Fellsmúli 9,8998809,sam@nan.is
1900769521,Jasmine Hagadone,Pilot,Copilot,NABAE146,Fellsmúli 10,8998810,jasmine@nan.is
2500812671,Anna Phillips,Pilot,Copilot,NAFokkerF28,Fellsmúli 11,8998811,anna@nan.is
1309927223,Patricia Bates,Pilot,Copilot,NAFokkerF28,Fellsmúli 12,8998812,patricia@nan.is
1600904199,Sherry Walker,Cabincrew,Flight Service Manager,N/A,Fellsmúli 13,8998813,sherry@nan.is
0303758167,Margarita Fischer,Cabincrew,Flight Service Manager,N/A,Fellsmúli 14,8998814,margarita@nan.is
2200763823,Judith Aleshire,Cabincrew,Flight Service Manager,N/A,Fellsmúli 15,8998815,judith@nan.is
1308941169,Jacob Blecha,Cabincrew,Flight Service Manager,N/A,Fellsmúli 16,8998816,jacob@nan.is
1405853585,Lula Stefani,Cabincrew,Flight Service Manager,N/A,Fellsmúli 17,8998817,lula@nan.is
0909862878,Richard Sanders,Cabincrew,Flight Service Manager,N/A,Fellsmúli 18,8998818,richard@nan.is
1811931544,John Kline,Cabincrew,Flight Service Manager,N/A,Fellsmúli 19,8998819,jhon@nan.is
0409858797,Evelyn Pickhardt,Cabincrew,Flight Service Manager,N/A,Fellsmúli 20,8998820,evelyn@nan.is
3002688722,Stacey Henrickson,Cabincrew,Flight Attendant,N/A,Fellsmúli 21,8998821,stacey@nan.is
3003962187,Delores Whitfield,Cabincrew,Flight Attendant,N/A,Fellsmúli 22,8998822,delores@nan.is
1311772221,Maribel Lucero,Cabincrew,Flight Attendant,N/A,Fellsmúli 23,8998823,maribel@nan.is
2509913418,Katherine Wernimont,Cabincrew,Flight Attendant,N/A,Fellsmúli 24,8998824,katherin@nan.is
1103647756,Wilma Horne,Cabincrew,Flight Attendant,N/A,Fellsmúli 25,8998825,wilma@nan.is
2807755841,Bernard Carr,Cabincrew,Flight Attendant,N/A,Fellsmúli 26,8998826,bernard@nan.is
0409907212,Sara Davis,Cabincrew,Flight Attendant,N/A,Fellsmúli 27,8998827,sara@nan.is
1103912131,Robert Swope,Cabincrew,Flight Attendant,N/A,Fellsmúli 28,8998828,robert@nan.is
2801645554,John Iversen,Cabincrew,Flight Attendant,N/A,Fellsmúli 29,8998829,jhon@nan.is
1501681497,Rhonda Forman,Cabincrew,Flight Attendant,N/A,Fellsmúli 30,8998830,rhonda@nan.is
1811813379,Melissa Paquette,Cabincrew,Flight Attendant,N/A,Fellsmúli 31,8998831,melissa@nan.is
0505942924,Carlton Chan,Cabincrew,Flight Attendant,N/A,Fellsmúli 32,8998832,carlton@nan.is
1110732819,Arthur Karr,Cabincrew,Flight Attendant,N/A,Fellsmúli 33,8998833,arthur@nan.is
2602806942,Teresa Thruman,Cabincrew,Flight Attendant,N/A,Fellsmúli 34,8998834,terese@nan.is
1107951952,Elizabeth Mcfadden,Cabincrew,Flight Attendant,N/A,Fellsmúli 35,8998835,elizabeth@nan.is
0301962449,Dagur Orn Hilmarsson,Pilot,Copilot,N/A,Garðsendi 11,7701274,Dagur@nan.is
1412992239,Binni Jo,Captein,Capten,334-44,4445555,5552220,binni@nan.is,
1008963039,Julli,Pilot,Captain,NAFokkerF100,Hesthamrar 7,8675449,julius@ru.is,
1409942439,Brynjar jónasson,Pilot,Captain,NABAE146,Suðurgata 13,8456963,brynjar@nan.is,
2006693399,David beckham,Pilot,Captain,NABAE146,Garðsendi 11,5812345,david@nan.is,
